Tourist Attraction,Hotel Name,Address,Address Link,Hotel Website,Hotline,Ranking,Reviewers,Rating,Location rating,Cleanliness rating,Service rating,Value rating,Comment,Price,URL,Description,Award,Hotel Class,Hotel Style 1,Hotel Style 2,Language Spoken,Numbers of near Restaurants,Near Restaurant 1,Link Near Restaurant 1,Near Restaurant 2,Link Near Restaurant 2,Near Restaurant 3,Link Near Restaurant 3,Near Restaurant 4,Link Near Restaurant 4,Near Attraction 1,Link Near Attraction 1,Near Attraction 2,Link Near Attraction 2,Near Attraction 3,Link Near Attraction 3,Near Attraction 4,Link Near Attraction 4,Numbers of near Attractions,Hotel Image
Lâm Đồng,Hung Phong Hotel,"14 Ha Huy Tap Street, Ward 3, Dist., Da Lat Vietnam",nan,nan,nan,Write a review,"14 Ha Huy Tap Street, Ward 3, Dist., Da Lat Vietnam",nan,nan,nan,nan,nan,nan,nan,https://www.tripadvisor.com/Hotel_Review-g293922-d22826284-Reviews-Hung_Phong_Hotel-Da_Lat_Lam_Dong_Province.html,No description available,nan,,nan,nan,nan,18,Moon Dining,https://www.tripadvisor.com/Restaurant_Review-g293922-d26309774-Reviews-Moon_Dining-Da_Lat_Lam_Dong_Province.html,Le Rabelais Restaurant,https://www.tripadvisor.com/Restaurant_Review-g293922-d1124757-Reviews-Le_Rabelais_Restaurant-Da_Lat_Lam_Dong_Province.html,BuymeCoffee,https://www.tripadvisor.com/Restaurant_Review-g293922-d12963619-Reviews-BuymeCoffee-Da_Lat_Lam_Dong_Province.html,Doha Cafe,https://www.tripadvisor.com/Restaurant_Review-g293922-d14982544-Reviews-Doha_Cafe-Da_Lat_Lam_Dong_Province.html,"Escape Bar, Dalat",https://www.tripadvisor.com/Attraction_Review-g293922-d4501099-Reviews-Escape_Bar_Dalat-Da_Lat_Lam_Dong_Province.html,B'nb Cocktail Bar,https://www.tripadvisor.com/Attraction_Review-g293922-d21245244-Reviews-B_nb_Cocktail_Bar-Da_Lat_Lam_Dong_Province.html,Nha Tho Bao Loc,https://www.tripadvisor.com/Attraction_Review-g2062759-d8527862-Reviews-Nha_Tho_Bao_Loc-Bao_Loc_Lam_Dong_Province.html,Prenn Falls,https://www.tripadvisor.com/Attraction_Review-g293922-d451011-Reviews-Prenn_Falls-Da_Lat_Lam_Dong_Province.html,5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/66/3e/27/linh-phuoc-pagode.jpg?w=700&h=-1&s=1
Lâm Đồng,Villa Tuan Vu Wonder,"14D Trinh Hoai Đuc, Phuong 11, Da Lat Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.947449,108.482994&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|11.955895,108.478279|11.941973,108.487686&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.947449,108.482994|11.940185,108.484116|11.944570,108.475548|11.955280,108.477699|11.949456,108.472122|11.946295,108.483238|11.944130,108.481209|11.944150,108.481567|11.955280,108.477699|11.944480,108.476883&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|11.941069,108.483749|11.941000,108.483681|11.939514,108.481583|11.937478,108.484344|11.941830,108.487450|11.946198,108.478210|11.951699,108.480087|11.945022,108.475639|11.944977,108.475578&signature=tGFuCOpXgpHZrjVvS-CBjAZEZRg=",nan,nan,Write a review,"14D Trinh Hoai Đuc, Phuong 11, Da Lat Vietnam",nan,nan,nan,nan,nan,nan,nan,https://www.tripadvisor.com/Hotel_Review-g293922-d23340399-Reviews-Villa_Tuan_Vu_Wonder-Da_Lat_Lam_Dong_Province.html,,nan,,nan,nan,nan,11,Nhà hàng Túi Mơ To Garden Restaurant,https://www.tripadvisor.com/Restaurant_Review-g293922-d23866973-Reviews-Nha_hang_Tui_Mo_To_Garden_Restaurant-Da_Lat_Lam_Dong_Province.html,Tiem Ca Phe Tui Mo To,https://www.tripadvisor.com/Restaurant_Review-g293922-d21141976-Reviews-Tiem_Ca_Phe_Tui_Mo_To-Da_Lat_Lam_Dong_Province.html,Tiệm Cà Phê Cheo Veooo,https://www.tripadvisor.com/Restaurant_Review-g293922-d26686990-Reviews-Ti_m_Ca_Phe_Cheo_Veooo-Da_Lat_Lam_Dong_Province.html,Lo Say Coffee Store,https://www.tripadvisor.com/Restaurant_Review-g293922-d17558520-Reviews-Lo_Say_Coffee_Store-Da_Lat_Lam_Dong_Province.html,Lake of Sighs (Ho Than Tho),https://www.tripadvisor.com/Attraction_Review-g293922-d451016-Reviews-Lake_of_Sighs_Ho_Than_Tho-Da_Lat_Lam_Dong_Province.html,DL Nature's,https://www.tripadvisor.com/Attraction_Review-g293922-d11880933-Reviews-DL_Nature_s-Da_Lat_Lam_Dong_Province.html,Tên không xác định,,Tên không xác định,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/66/3e/27/linh-phuoc-pagode.jpg?w=700&h=-1&s=1
Lâm Đồng,Mi Linh Hostel,"1, Khu Hoa Binh Ward 1, Da Lat Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=15&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.943130,108.435738&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|11.943347,108.435425|11.942786,108.436928|11.941339,108.436623|11.941440,108.436821|11.943796,108.434723|11.945163,108.434753|11.943580,108.435120|11.944404,108.433235|11.944767,108.434837&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.943130,108.435738|11.943840,108.439957|11.946293,108.435036|11.942878,108.435089|11.940871,108.436516|11.941996,108.433823|11.942302,108.432281|11.947020,108.435570|11.941174,108.433296|11.940930,108.434433&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|11.947169,108.435616|11.944262,108.435013|11.941682,108.433426|11.944194,108.432976|11.944593,108.437576|11.947226,108.435730|11.942369,108.434258|11.941591,108.433678|11.944932,108.434441&signature=wueMJ1fHszcfJAE4hSE8lEqxwZo=",nan,nan,Write a review,"1, Khu Hoa Binh Ward 1, Da Lat Vietnam",nan,nan,nan,nan,nan,nan,nan,https://www.tripadvisor.com/Hotel_Review-g293922-d10127511-Reviews-Mi_Linh_Hostel-Da_Lat_Lam_Dong_Province.html,No description available,nan,,nan,nan,nan,174,Trang's Cookery Restaurant,https://www.tripadvisor.com/Restaurant_Review-g293922-d13217760-Reviews-Trang_s_Cookery_Restaurant-Da_Lat_Lam_Dong_Province.html,Sagar Indian Cuisine Đà Lạt,https://www.tripadvisor.com/Restaurant_Review-g293922-d26585474-Reviews-Sagar_Indian_Cuisine_Da_L_t-Da_Lat_Lam_Dong_Province.html,Blue Parrot Mexican Grill,https://www.tripadvisor.com/Restaurant_Review-g293922-d15667624-Reviews-Blue_Parrot_Mexican_Grill-Da_Lat_Lam_Dong_Province.html,One More Cafe,https://www.tripadvisor.com/Restaurant_Review-g293922-d8091078-Reviews-One_More_Cafe-Da_Lat_Lam_Dong_Province.html,Brothers Bar Dalat,https://www.tripadvisor.com/Attraction_Review-g293922-d16739861-Reviews-Brothers_Bar_Dalat-Da_Lat_Lam_Dong_Province.html,Da Lat Night Market,https://www.tripadvisor.com/Attraction_Review-g293922-d11443926-Reviews-Da_Lat_Night_Market-Da_Lat_Lam_Dong_Province.html,Beeppub,https://www.tripadvisor.com/Attraction_Review-g293922-d26538942-Reviews-Beeppub-Da_Lat_Lam_Dong_Province.html,Datanla High Rope Course,https://www.tripadvisor.com/Attraction_Review-g293922-d10634733-Reviews-Datanla_High_Rope_Course-Da_Lat_Lam_Dong_Province.html,30,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/66/3e/27/linh-phuoc-pagode.jpg?w=700&h=-1&s=1
Lâm Đồng,Hoang Lan,Da Lat Vietnam,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=15&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.941141,108.435760&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|11.939740,108.439949|11.943347,108.435425|11.942786,108.436928|11.941339,108.436623|11.941440,108.436821|11.943796,108.434723|11.945163,108.434753|11.943580,108.435120|11.944404,108.433235&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.941141,108.435760|11.942878,108.435089|11.940871,108.436516|11.941996,108.433823|11.942302,108.432281|11.938333,108.433060|11.941174,108.433296|11.940930,108.434433|11.942520,108.434273|11.943619,108.434456&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|11.944262,108.435013|11.941682,108.433426|11.944194,108.432976|11.944593,108.437576|11.942369,108.434258|11.941591,108.433678|11.944932,108.434441|11.943604,108.434425|11.943970,108.434555&signature=dbv9dUMj_sUDx4VnAwNcJW_NUKA=",nan,nan,Write a review,Da Lat Vietnam,nan,nan,nan,nan,nan,nan,nan,https://www.tripadvisor.com/Hotel_Review-g293922-d17697911-Reviews-Hoang_Lan-Da_Lat_Lam_Dong_Province.html,No description available,nan,,nan,nan,nan,145,Sagar Indian Cuisine Đà Lạt,https://www.tripadvisor.com/Restaurant_Review-g293922-d26585474-Reviews-Sagar_Indian_Cuisine_Da_L_t-Da_Lat_Lam_Dong_Province.html,Blue Parrot Mexican Grill,https://www.tripadvisor.com/Restaurant_Review-g293922-d15667624-Reviews-Blue_Parrot_Mexican_Grill-Da_Lat_Lam_Dong_Province.html,One More Cafe,https://www.tripadvisor.com/Restaurant_Review-g293922-d8091078-Reviews-One_More_Cafe-Da_Lat_Lam_Dong_Province.html,Duong Len Trang (Cafe Tram Mai),https://www.tripadvisor.com/Restaurant_Review-g293922-d6948253-Reviews-Duong_Len_Trang_Cafe_Tram_Mai-Da_Lat_Lam_Dong_Province.html,Xuan Huong Lake,https://www.tripadvisor.com/Attraction_Review-g293922-d451022-Reviews-Xuan_Huong_Lake-Da_Lat_Lam_Dong_Province.html,Brothers Bar Dalat,https://www.tripadvisor.com/Attraction_Review-g293922-d16739861-Reviews-Brothers_Bar_Dalat-Da_Lat_Lam_Dong_Province.html,Da Lat Night Market,https://www.tripadvisor.com/Attraction_Review-g293922-d11443926-Reviews-Da_Lat_Night_Market-Da_Lat_Lam_Dong_Province.html,Beeppub,https://www.tripadvisor.com/Attraction_Review-g293922-d26538942-Reviews-Beeppub-Da_Lat_Lam_Dong_Province.html,27,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/66/3e/27/linh-phuoc-pagode.jpg?w=700&h=-1&s=1
Lâm Đồng,QA Hotel Dalat - City Centre,"38 Đường Nguyễn Chí Thanh, Da Lat 66110 Vietnam",nan,nan,nan,Write a review,"38 Đường Nguyễn Chí Thanh, Da Lat 66110 Vietnam",nan,nan,nan,nan,nan,nan,11,https://www.tripadvisor.com/Hotel_Review-g293922-d18854677-Reviews-QA_Hotel_Dalat_City_Centre-Da_Lat_Lam_Dong_Province.html,,nan,2.0 of 5 stars,nan,nan,nan,127,Sagar Indian Cuisine Đà Lạt,https://www.tripadvisor.com/Restaurant_Review-g293922-d26585474-Reviews-Sagar_Indian_Cuisine_Da_L_t-Da_Lat_Lam_Dong_Province.html,Blue Parrot Mexican Grill,https://www.tripadvisor.com/Restaurant_Review-g293922-d15667624-Reviews-Blue_Parrot_Mexican_Grill-Da_Lat_Lam_Dong_Province.html,Duong Len Trang (Cafe Tram Mai),https://www.tripadvisor.com/Restaurant_Review-g293922-d6948253-Reviews-Duong_Len_Trang_Cafe_Tram_Mai-Da_Lat_Lam_Dong_Province.html,Down Under,https://www.tripadvisor.com/Restaurant_Review-g293922-d19728514-Reviews-Down_Under-Da_Lat_Lam_Dong_Province.html,Xuan Huong Lake,https://www.tripadvisor.com/Attraction_Review-g293922-d451022-Reviews-Xuan_Huong_Lake-Da_Lat_Lam_Dong_Province.html,Brothers Bar Dalat,https://www.tripadvisor.com/Attraction_Review-g293922-d16739861-Reviews-Brothers_Bar_Dalat-Da_Lat_Lam_Dong_Province.html,Da Lat Night Market,https://www.tripadvisor.com/Attraction_Review-g293922-d11443926-Reviews-Da_Lat_Night_Market-Da_Lat_Lam_Dong_Province.html,Beeppub,https://www.tripadvisor.com/Attraction_Review-g293922-d26538942-Reviews-Beeppub-Da_Lat_Lam_Dong_Province.html,24,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/19/25/20/getlstd-property-photo.jpg?w=700&h=-1&s=1
Lâm Đồng,Daruma Home,"215 Đ. Bùi Thị Xuân, Phường 2, Da Lat Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=15&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.952539,108.439522&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|11.948568,108.439323|11.950150,108.436943|11.949593,108.438835|11.952432,108.439156&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.952539,108.439522|11.949172,108.438522|11.953198,108.438927|11.951225,108.439423|11.949482,108.440392|11.953749,108.437531|11.948473,108.438530|11.953714,108.436569|11.951689,108.436653|11.953696,108.436142&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|11.949706,108.438713|11.953740,108.442276|11.955755,108.440063|11.951467,108.435501|11.951549,108.436829|11.955600,108.439529|11.948917,108.437653|11.948795,108.439247|11.953290,108.437538&signature=fSykNG_wWCzFrWcLocbS462no9k=",nan,nan,Write a review,"215 Đ. Bùi Thị Xuân, Phường 2, Da Lat Vietnam",nan,nan,nan,nan,nan,nan,nan,https://www.tripadvisor.com/Hotel_Review-g293922-d19908612-Reviews-Daruma_Home-Da_Lat_Lam_Dong_Province.html,No description available,nan,,nan,nan,nan,27,Fungi Chingu Restaurant,https://www.tripadvisor.com/Restaurant_Review-g293922-d11946784-Reviews-Fungi_Chingu_Restaurant-Da_Lat_Lam_Dong_Province.html,Hoa Thông Brewing co,https://www.tripadvisor.com/Restaurant_Review-g293922-d26868337-Reviews-Hoa_Thong_Brewing_co-Da_Lat_Lam_Dong_Province.html,Tịnh Tâm Vegan,https://www.tripadvisor.com/Restaurant_Review-g293926-d23650564-Reviews-T_nh_Tam_Vegan-Hue_Thua_Thien_Hue_Province.html,Quan An Cu Duc,https://www.tripadvisor.com/Restaurant_Review-g293922-d6276324-Reviews-Quan_An_Cu_Duc-Da_Lat_Lam_Dong_Province.html,6th Floor Bar,https://www.tripadvisor.com/Attraction_Review-g293922-d14890739-Reviews-6th_Floor_Bar-Da_Lat_Lam_Dong_Province.html,Linh Son Pagoda,https://www.tripadvisor.com/Attraction_Review-g293922-d3812786-Reviews-Linh_Son_Pagoda-Da_Lat_Lam_Dong_Province.html,Warm Da Lat,https://www.tripadvisor.com/Attraction_Review-g293922-d27969146-Reviews-Warm_Da_Lat-Da_Lat_Lam_Dong_Province.html,Highcloud Coffee & Live Music,https://www.tripadvisor.com/Attraction_Review-g293922-d24183241-Reviews-Highcloud_Coffee_Live_Music-Da_Lat_Lam_Dong_Province.html,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/66/3e/27/linh-phuoc-pagode.jpg?w=700&h=-1&s=1
Lâm Đồng,High Town,"07B Hoàng Hoa Thám, Da Lat 670000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.936888,108.462837&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|11.939840,108.458855|11.941617,108.454468|11.943397,108.456200|11.944400,108.469719|11.942839,108.468178|11.940459,108.459900|11.940278,108.463661|11.938475,108.452209|11.940410,108.458557&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.936888,108.462837|11.945014,108.459450|11.929509,108.459358|11.942400,108.453300|11.941119,108.458305|11.943216,108.455482|11.941074,108.466476|11.937689,108.452858|11.938642,108.454033|11.932550,108.464317&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|11.933165,108.464592|11.940419,108.458313|11.941743,108.454498|11.938185,108.455635|11.933383,108.458076|11.944311,108.465065|11.945117,108.465096|11.942078,108.453583|11.942040,108.453400&signature=rgO7hA759L4nkCwkiKu1-3ZceT8=",nan,nan,Write a review,"07B Hoàng Hoa Thám, Da Lat 670000 Vietnam",nan,nan,nan,nan,nan,nan,nan,https://www.tripadvisor.com/Hotel_Review-g293922-d26233618-Reviews-High_Town-Da_Lat_Lam_Dong_Province.html,No description available,nan,,nan,nan,nan,40,Émai Dalat,https://www.tripadvisor.com/Restaurant_Review-g293922-d13279996-Reviews-Emai_Dalat-Da_Lat_Lam_Dong_Province.html,The Peace Cafe,https://www.tripadvisor.com/Restaurant_Review-g293922-d4476448-Reviews-The_Peace_Cafe-Da_Lat_Lam_Dong_Province.html,Ngoi BBQ Restaurant,https://www.tripadvisor.com/Restaurant_Review-g293922-d9768919-Reviews-Ngoi_BBQ_Restaurant-Da_Lat_Lam_Dong_Province.html,Quán Cơm Linh,https://www.tripadvisor.com/Restaurant_Review-g293922-d26575056-Reviews-Quan_Com_Linh-Da_Lat_Lam_Dong_Province.html,Thien Vuong Co Sat Pagoda,https://www.tripadvisor.com/Attraction_Review-g293922-d451020-Reviews-Thien_Vuong_Co_Sat_Pagoda-Da_Lat_Lam_Dong_Province.html,Dalat Railway Station,https://www.tripadvisor.com/Attraction_Review-g293922-d451014-Reviews-Dalat_Railway_Station-Da_Lat_Lam_Dong_Province.html,The Balcony Speakeasy Bar,https://www.tripadvisor.com/Attraction_Review-g293922-d19254835-Reviews-The_Balcony_Speakeasy_Bar-Da_Lat_Lam_Dong_Province.html,Da Lat King Palace I,https://www.tripadvisor.com/Attraction_Review-g293922-d8327098-Reviews-Da_Lat_King_Palace_I-Da_Lat_Lam_Dong_Province.html,12,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/7c/ff/1d/high-town.jpg?w=700&h=-1&s=1
Lâm Đồng,Fairy Town,"29 Đường Mạc Đĩnh Chi, Da Lat 670000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=15&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.940147,108.429375&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|11.942780,108.430443|11.941549,108.433014|11.940261,108.429085|11.942780,108.430443|11.942780,108.430443|11.943062,108.427567|11.942645,108.426987&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.940147,108.429375|11.938290,108.431953|11.940247,108.427582|11.937078,108.427597|11.938528,108.426537|11.940845,108.427490|11.942302,108.432281|11.938333,108.433060|11.941174,108.433296|11.943891,108.430099&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|11.941682,108.433426|11.941630,108.432571|11.940300,108.426895|11.942381,108.431473|11.938415,108.425636|11.940629,108.431473|11.937573,108.428802|11.941736,108.433105|11.940261,108.429085&signature=r9HHcKLl3jE8egV80yKOsPIsuU8=",nan,nan,Write a review,"29 Đường Mạc Đĩnh Chi, Da Lat 670000 Vietnam",nan,nan,nan,nan,nan,nan,18,https://www.tripadvisor.com/Hotel_Review-g293922-d26129453-Reviews-Fairy_Town-Da_Lat_Lam_Dong_Province.html,No description available,nan,,nan,nan,nan,61,Blue Parrot Mexican Grill,https://www.tripadvisor.com/Restaurant_Review-g293922-d15667624-Reviews-Blue_Parrot_Mexican_Grill-Da_Lat_Lam_Dong_Province.html,Hawaiian Poke,https://www.tripadvisor.com/Restaurant_Review-g293922-d23514485-Reviews-Hawaiian_Poke-Da_Lat_Lam_Dong_Province.html,Ganeya,https://www.tripadvisor.com/Restaurant_Review-g293922-d12699086-Reviews-Ganeya-Da_Lat_Lam_Dong_Province.html,Restaurant Ichi,https://www.tripadvisor.com/Restaurant_Review-g293922-d1905556-Reviews-Restaurant_Ichi-Da_Lat_Lam_Dong_Province.html,Mizu Bar Dalat,https://www.tripadvisor.com/Attraction_Review-g293922-d23332307-Reviews-Mizu_Bar_Dalat-Da_Lat_Lam_Dong_Province.html,No Mercy Pub,https://www.tripadvisor.com/Attraction_Review-g293922-d19890553-Reviews-No_Mercy_Pub-Da_Lat_Lam_Dong_Province.html,Holiday Dalat - Live Music Bar,https://www.tripadvisor.com/Attraction_Review-g293922-d25120856-Reviews-Holiday_Dalat_Live_Music_Bar-Da_Lat_Lam_Dong_Province.html,Mizu Bar Dalat,https://www.tripadvisor.com/Attraction_Review-g293922-d23332339-Reviews-Mizu_Bar_Dalat-Da_Lat_Lam_Dong_Province.html,7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/66/3e/27/linh-phuoc-pagode.jpg?w=700&h=-1&s=1
Lâm Đồng,Đồi Mây Tuyết Hotel,"01 Dong Da, Ward 3, Da Lat 660000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.923015,108.443527&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|11.929073,108.447563|11.932930,108.445839&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.923015,108.443527|11.922599,108.435318|11.928572,108.443565|11.923807,108.444641|11.933256,108.442902|11.930264,108.443260|11.928389,108.445686|11.925484,108.445030|11.933321,108.442993|11.930095,108.450462&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|11.923466,108.444450|11.928019,108.446129|11.923478,108.443779|11.924789,108.446983|11.924040,108.454544|11.926445,108.452644|11.923741,108.435371|11.932252,108.442383|11.924234,108.445801&signature=0kkL4Bcy6xfqjp0yJpdgI0dw2VA=",nan,nan,Write a review,"01 Dong Da, Ward 3, Da Lat 660000 Vietnam",nan,nan,nan,nan,nan,nan,Only 2 left at,https://www.tripadvisor.com/Hotel_Review-g293922-d26437804-Reviews-D_i_May_Tuy_t_Hotel-Da_Lat_Lam_Dong_Province.html,No description available,nan,,nan,nan,nan,45,Anna's Coffee House,https://www.tripadvisor.com/Restaurant_Review-g293922-d8559882-Reviews-Anna_s_Coffee_House-Da_Lat_Lam_Dong_Province.html,SANY Crêperie Đà Lạt,https://www.tripadvisor.com/Restaurant_Review-g293922-d23424974-Reviews-SANY_Creperie_Da_L_t-Da_Lat_Lam_Dong_Province.html,Leguda Buffet Rau Dalat,https://www.tripadvisor.com/Restaurant_Review-g293922-d8354126-Reviews-Leguda_Buffet_Rau_Dalat-Da_Lat_Lam_Dong_Province.html,Bui Van Ngo Coffee,https://www.tripadvisor.com/Restaurant_Review-g293922-d12369071-Reviews-Bui_Van_Ngo_Coffee-Da_Lat_Lam_Dong_Province.html,The Blackout - Craft Cocktail Dalat,https://www.tripadvisor.com/Attraction_Review-g293922-d24952993-Reviews-The_Blackout_Craft_Cocktail_Dalat-Da_Lat_Lam_Dong_Province.html,Monster Lake Da Lat,https://www.tripadvisor.com/Attraction_Review-g293922-d11548258-Reviews-Monster_Lake_Da_Lat-Da_Lat_Lam_Dong_Province.html,Tên không xác định,,Tên không xác định,,2,https://dynamic-media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/2d/8a/17/b2/bedroom.jpg?w=700&h=-1&s=1
Lâm Đồng,The Hobbit Bungalow,"Lo 16, KQH 51, Dong Da Street, Ward 3, Da Lat 670000 Vietnam",nan,nan,nan,Write a review,"Lo 16, KQH 51, Dong Da Street, Ward 3, Da Lat 670000 Vietnam",nan,nan,nan,nan,nan,nan,13,https://www.tripadvisor.com/Hotel_Review-g293922-d17607716-Reviews-The_Hobbit_Bungalow-Da_Lat_Lam_Dong_Province.html,,nan,3.0 of 5 stars,nan,nan,nan,67,Anna's Coffee House,https://www.tripadvisor.com/Restaurant_Review-g293922-d8559882-Reviews-Anna_s_Coffee_House-Da_Lat_Lam_Dong_Province.html,Moon Dining,https://www.tripadvisor.com/Restaurant_Review-g293922-d26309774-Reviews-Moon_Dining-Da_Lat_Lam_Dong_Province.html,SANY Crêperie Đà Lạt,https://www.tripadvisor.com/Restaurant_Review-g293922-d23424974-Reviews-SANY_Creperie_Da_L_t-Da_Lat_Lam_Dong_Province.html,Leguda Buffet Rau Dalat,https://www.tripadvisor.com/Restaurant_Review-g293922-d8354126-Reviews-Leguda_Buffet_Rau_Dalat-Da_Lat_Lam_Dong_Province.html,Lam Vien Square,https://www.tripadvisor.com/Attraction_Review-g293922-d9989939-Reviews-Lam_Vien_Square-Da_Lat_Lam_Dong_Province.html,"Escape Bar, Dalat",https://www.tripadvisor.com/Attraction_Review-g293922-d4501099-Reviews-Escape_Bar_Dalat-Da_Lat_Lam_Dong_Province.html,B'nb Cocktail Bar,https://www.tripadvisor.com/Attraction_Review-g293922-d21245244-Reviews-B_nb_Cocktail_Bar-Da_Lat_Lam_Dong_Province.html,Nha Tho Bao Loc,https://www.tripadvisor.com/Attraction_Review-g2062759-d8527862-Reviews-Nha_Tho_Bao_Loc-Bao_Loc_Lam_Dong_Province.html,8,https://dynamic-media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/2d/85/5f/c2/property-building.jpg?w=700&h=-1&s=1
