FIPS,City
AR23,Tierra Del Fuego Antártida E Islas Del Atlántico Sur
AR24,Tucuman
AS00,Australia
AS01,Australian Capital Territory
AS02,New South Wales
AS03,Northern Territory
AS04,Queensland
AS05,South Australia
AS06,Tasmania
AS07,Victoria
AS08,Western Australia
AT00,Ashmore And Cartier Islands
AU00,Austria
AU01,Burgenland
AU02,Karnten
AU03,Niederosterreich
AU04,Oberosterreich
AU05,Salzburg
AU06,Steiermark
AU07,Tirol
AU08,Vorarlberg
AU09,Wien
AV00,Anguilla
AX00,Akrotiri Sovereign Base Area
AY00,Antarctica
BA00,Bahrain
BA01,Al Hadd
BA02,Al Manamah
BA03,Al Muharraq
BA05,Jidd Hafs
BA06,Sitrah
BA07,Al Rifa` Wa Al Mintaqah Al Janubiyah
BA08,Al Mintaqah Al Gharbiyah
BA09,Mintaqat Juzur Hawar
BA10,Al Mintaqah Ash Shamaliyah
BA11,Al Mintaqah Al Wusta
BA12,Madinat `Isa
BA13,Ar Rifa` Wa Al Mintaqah Al Janubiyah
BA14,Madinat Hamad
BA15,Al Muḩarraq
BA16,Al ‘Āşimah
BA17,Al Janūbīyah
BA18,Ash Shamālīyah
BA19,Al Wusţá
BB00,Barbados
BB01,Christ Church
BB02,Saint Andrew
BB03,Saint George
BB04,Saint James
BB05,Saint John
BB06,Saint Joseph
BB07,Saint Lucy
BB08,Saint Michael
BB09,Saint Peter
BB10,Saint Philip
BB11,Saint Thomas
BC00,Botswana
BC01,Central
BC02,Chobe
BC03,Ghanzi
BC04,Kgalagadi
BC05,Kgatleng
BC06,Kweneng
BC07,Ngamiland
BC08,North-East
BC09,South-East
BC10,Southern
BC11,North West
BD00,Bermuda
BD01,Devonshire
BD02,Hamilton
BD03,Hamilton
BD04,Paget
BD05,Pembroke
BD06,Saint George
BD07,Saint George'S
BD08,Sandys
BD09,Smiths
BD10,Southampton
BD11,Warwick
BE00,Belgium
BE01,Antwerpen
BE02,Brabant
BE03,Hainaut
BE04,Liege
BE05,Limburg
BE06,Luxembourg
BE07,Namur
BE08,Oost-Vlaanderen
BE09,West-Vlaanderen
BE10,Brabant Wallon
BE11,Brussels Hoofdstedelijk Gewest/Région De Bruxelles-Capitale
BE12,Vlamms-Brabant
BF00,Bahamas The
BF01,Abaco
BF02,Acklins Island
BF03,Andros Island
BF04,Berry Islands
BF05,Bimini
BF06,Cat Island
BF07,Cay Lobos
BF08,Crooked Island
BF09,Eleuthera
BF10,Exuma
BF11,Grand Bahama
BF12,Harbour Island
BF13,Inagua
BF14,Long Cay
BF15,Long Island
BF16,Mayaguana
BF17,New Providence
BF18,Ragged Island
BF19,Rum Cay
BF20,San Salvador
BF21,Spanish Wells
BF22,Harbour Island
BF23,New Providence
